institution,recruitment_year,notice_title,employment_track,job_category,qualification_type,certificate_name,certificate_level,bonus_stage,bonus_score,max_bonus,conditions,source_url,source_type,source_quote,page_or_section,posted_date,application_period,verified_date,status,notes
한국전력공사,2025,2025년도 고졸 채용형인턴 모집공고,고졸,사무,반영없음,해당없음,해당없음,해당없음,,,사무 분야 지원자격상 전공 및 자격 제한 없음.,https://www.alio.go.kr/download/download.json?fileNo=2988373,공식PDF,사무 전공 및 자격제한 없음,"p.2, 지원자격",2025.09.11,2025.09.22 ~ 2025.09.25,2026-05-04,검증됨,자격증 가산점이 아니라 자격 제한 없음으로 분류.
한국전력공사,2025,2025년도 고졸 채용형인턴 모집공고,고졸,배전·송변전,응시자격,전기기능사,기능사,해당없음,,,전기기능사는 해당분야 경력 2년 이상 조건과 결합되어야 함.,https://www.alio.go.kr/download/download.json?fileNo=2988373,공식PDF,전기 기능사 + 해당분야 2년 이상,"p.2, 지원자격",2025.09.11,2025.09.22 ~ 2025.09.25,2026-05-04,검증됨,가산점이 아니라 배전·송변전 지원자격.
한국전력공사,2025,2025년도 고졸 채용형인턴 모집공고,고졸,배전·송변전,응시자격,"전기산업기사, 전기공사산업기사",산업기사 이상,해당없음,,,배전·송변전 지원 가능 조건 중 하나.,https://www.alio.go.kr/download/download.json?fileNo=2988373,공식PDF,"산업기사(전기, 전기공사) 이상","p.2, 지원자격",2025.09.11,2025.09.22 ~ 2025.09.25,2026-05-04,검증됨,가산점이 아니라 배전·송변전 지원자격.
한국전력공사,2025,2025년도 고졸 채용형인턴 모집공고,고졸,배전·송변전 재학생,응시자격,전기기능사,기능사,해당없음,,,2026년 2월 졸업예정자 대상 조건.,https://www.alio.go.kr/download/download.json?fileNo=2988373,공식PDF,전기 기능사 자격증 보유자,"p.2, 지원자격",2025.09.11,2025.09.22 ~ 2025.09.25,2026-05-04,검증됨,가산점이 아니라 재학생 배전·송변전 지원자격.
한국전력공사,2025,2025년도 고졸 채용형인턴 모집공고,고졸,배전·송변전 재학생 정규직 전환,응시자격,"전기산업기사, 전기공사산업기사",산업기사,전체,,,입사 지원 가산점이 아니라 정규직 전환 조건.,https://www.alio.go.kr/download/download.json?fileNo=2988373,공식PDF,산업기사(전기 또는 전기공사) 취득자,"p.4, 정규직 전환조건",2025.09.11,2025.09.22 ~ 2025.09.25,2026-05-04,검증됨,추천 로직에서 초기 지원 가능성과 정규직 전환 가능성을 분리해야 함.
한국에너지공단,2024,"한국에너지공단 신입직원(일반, 고졸) 채용 공고",고졸,사무,서류 점수,신입직원 일반 사무 직군의 40점·20점·15점 표기 직무기술자격,자격별 상이,서류,80점,"직무기술자격 80점, 사무자동화 20점, 한국사 가점 최대 5점",고졸 사무 분야 서류전형 세부평가 기준.,https://www.alio.go.kr/download/download.json?fileNo=2896019,공식PDF,직무기술 자격 최상위 1개 인정,"p.7, 신입직원(고졸) 서류전형",2024.09.10,2024.09.10 ~ 2024.09.25,2026-05-04,만료/과거공고,과거 기준. 2025~2026 최신 공고 재확인 필요.
한국에너지공단,2024,"한국에너지공단 신입직원(일반, 고졸) 채용 공고",고졸,기술,서류 점수,기사 또는 일반 기술 직군 40점·20점·15점 표기 자격,기사 등,서류,80점,"직무기술자격 80점, 사무자동화 20점, 한국사 가점 최대 5점",고졸 기술 분야 서류전형 세부평가 기준.,https://www.alio.go.kr/download/download.json?fileNo=2896019,공식PDF,기술 80점,"p.7, 신입직원(고졸) 서류전형",2024.09.10,2024.09.10 ~ 2024.09.25,2026-05-04,만료/과거공고,과거 기준. 개별 자격명은 일반 기술 직군 표기항목과 연동 필요.
한국에너지공단,2024,"한국에너지공단 신입직원(일반, 고졸) 채용 공고",고졸,기술,서류 점수,산업기사 또는 일반 기술 직군 10점·7점 표기 자격,산업기사 등,서류,75점,"직무기술자격 80점, 사무자동화 20점, 한국사 가점 최대 5점",고졸 기술 분야 서류전형 세부평가 기준.,https://www.alio.go.kr/download/download.json?fileNo=2896019,공식PDF,산업기사 또는 배점 10점·7점,"p.7, 신입직원(고졸) 서류전형",2024.09.10,2024.09.10 ~ 2024.09.25,2026-05-04,만료/과거공고,과거 기준. 최신 공고에서 점수 체계 변경 가능.
한국에너지공단,2024,"한국에너지공단 신입직원(일반, 고졸) 채용 공고",고졸,기술,서류 점수,"에너지관리기능사, 공조냉동기계기능사, 전기기능사, 가스기능사 등",기능사,서류,70점,"직무기술자격 80점, 사무자동화 20점, 한국사 가점 최대 5점",업무 유관 분야 직무기술자격 기능사.,https://www.alio.go.kr/download/download.json?fileNo=2896019,공식PDF,업무 유관 분야 직무기술자격(기능사),"p.7, 신입직원(고졸) 서류전형",2024.09.10,2024.09.10 ~ 2024.09.25,2026-05-04,만료/과거공고,과거 기준. 자격명은 공고 원문 전체 목록을 우선해야 함.
한국에너지공단,2024,"한국에너지공단 신입직원(일반, 고졸) 채용 공고",고졸,사무·기술 공통,서류 점수,"정보처리기사, 컴퓨터활용능력 1급",기사 또는 1급,서류,20점,사무자동화 20점,고졸 사무자동화 항목.,https://www.alio.go.kr/download/download.json?fileNo=2896019,공식PDF,"정보처리기사, 컴퓨터활용능력 1급","p.7, 신입직원(고졸) 서류전형",2024.09.10,2024.09.10 ~ 2024.09.25,2026-05-04,만료/과거공고,과거 기준.
한국에너지공단,2024,"한국에너지공단 신입직원(일반, 고졸) 채용 공고",고졸,사무·기술 공통,서류 점수,"정보처리산업기사, 사무자동화산업기사, 컴퓨터활용능력 2급",산업기사 또는 2급,서류,10점,사무자동화 20점,고졸 사무자동화 항목.,https://www.alio.go.kr/download/download.json?fileNo=2896019,공식PDF,사무자동화 최상위 1개 인정,"p.7, 신입직원(고졸) 서류전형",2024.09.10,2024.09.10 ~ 2024.09.25,2026-05-04,만료/과거공고,과거 기준.
